Name,Organization,Year Elected,Residency,Status
Thomas Bacon,APS,1768,Resident,Member
Lynford Lardner,APS,1768,Resident,Member
Arthur Lee,APS,1768,Resident,Member
Francis L. Lee,APS,1768,Resident,Member
Samuel Bowen,APS,1769,Resident,Member
Richard Brooke,APS,1769,Resident,Member
Landon Carter,APS,1769,Resident,Member
Daniel Clark,APS,1769,Resident,Member
Myles Cooper,APS,1769,Resident,Member
John Jones,APS,1769,Resident,Member
Carolus Linnaeus,APS,1769,International,Member
John Lorimer,APS,1769,Resident,Member
John M. Otto,APS,1769,Resident,Member
Ebenezer Prime,APS,1769,Resident,Member
Samuel Shoemaker,APS,1769,Resident,Member
Earl William Alexander,APS,1770,Resident,Member
Joel Bailey,APS,1770,Resident,Member
Joseph Ellicott,APS,1770,Resident,Member
James Ferguson,APS,1770,International,Member
John Fothergill,APS,1770,International,Member
Joseph Gilpin,APS,1770,Resident,Member
George Guald,APS,1770,Resident,Member
John David Hahn,APS,1770,International,Member
John Morell,APS,1770,Resident,Member
Edward Nairne,APS,1770,International,Member
John Baynton,APS,1771,Resident,Member
Henry Benbridge,APS,1771,Resident,Member
Samuel Filsted,APS,1771,International,Member
Archibald Gloucester,APS,1771,International,Member
Henry Hill,APS,1771,Resident,Member
James Lloyd,APS,1771,Resident,Member
Frederick W. von Marschall,APS,1771,Resident,Member
Nevil Maskelyne,APS,1771,International,Member
Charles A. McCall,APS,1771,Resident,Member
Samuel Preston Moore,APS,1771,Resident,Member
Charles Morton,APS,1771,International,Member
Joseph Otolenge,APS,1771,Resident,Member
William Parr,APS,1771,Resident,Member
Thomas Preston,APS,1771,Resident,Member
Samuel Rhoads,APS,1771,Resident,Member
Richard Thomas,APS,1771,Resident,Member
Stephen Adye,APS,1772,International,Member
Gerard Bancker,APS,1772,Resident,Member
Daniel Coxe,APS,1772,Resident,Member
Peter Dolland,APS,1772,International,Member
Thomas Hutchins,APS,1772,Resident,Member
Timothy Lane,APS,1772,International,Member
Henry Laurens,APS,1772,Resident,Member
Jesse Lukens,APS,1772,Resident,Member
Arch McClean,APS,1772,Resident,Member
George Milligan,APS,1772,Resident,Member
John Montresor,APS,1772,International,Member
Samuel Williams,APS,1772,Resident,Member
Tobern Bergmann,APS,1773,International,Member
Thomas Coombe,APS,1773,Resident,Member
Baron von Timotheus M. Klingstadt,APS,1773,International,Member
William Ludlam,APS,1773,International,Member
Andrew Oliver,APS,1773,Resident,Member
Jean B. Le Roy,APS,1773,International,Member
Alexander Small,APS,1773,International,Member
James Tilton,APS,1773,Resident,Member
Nicholas Way,APS,1773,Resident,Member
James Bringhurst,APS,1774,Resident,Member
William Bryant,APS,1774,Resident,Member
Sharp Delany,APS,1774,Resident,Member
Andrew Duncan,APS,1774,International,Member
Bryan Edwards,APS,1774,International,Member
John Ellis,APS,1774,Resident,Member
Jonathan Elmer,APS,1774,Resident,Member
George Gauld,APS,1774,Resident,Member
John Jones,APS,1774,Resident,Member
Walter Jones,APS,1774,Resident,Member
James McClurg,APS,1774,Resident,Member
Samuel More,APS,1774,International,Member
Benjamin Morgan,APS,1774,Resident,Member
Thomas Parke,APS,1774,Resident,Member
John Perkins,APS,1774,Resident,Member
Bernard Romans,APS,1774,Resident,Member
Lord Mahon Charles Stanhope,APS,1774,International,Member
Lord Mahon Philips Stanhope,APS,1774,International,Member
William Wright,APS,1774,International,Member
Charles Adams,APS,1775,International,Member
Jacques Barbeu-Dubourg,APS,1775,International,Member
Marquis de M.J.A.N. Caritat Condorcet,APS,1775,International,Member
Louis J.M. Daubenton,APS,1775,International,Member
Fortunatus Dwarris,APS,1775,International,Member
Thomas Gibbons,APS,1775,International,Member
Samuel Holland,APS,1775,International,Member
Antoine L. Lavoisier,APS,1775,International,Member
Pierre J. Macquer,APS,1775,International,Member
Benjamin Moseley,APS,1775,International,Member
Guillaume T. F. Raynall,APS,1775,International,Member
Le Roux,APS,1775,International,Member
Jean F. Rozier,APS,1775,International,Member
George Duffield,APS,1779,Resident,Member
James Hutchinson,APS,1779,Resident,Member
Charles Pettit,APS,1779,Resident,Member
Conrad A. Gerard de Rayneval,APS,1779,International,Member
Jean-Joseph Sue,APS,1779,International,Member
John Adams,APS,1780,Resident,Member
Marquis de Francois Barbe-Marbois,APS,1780,International,Member
William Brown,APS,1780,Resident,Member
William Carmichael,APS,1780,Resident,Member
Arthur St. Clair,APS,1780,Resident,Member
Robert Erskine,APS,1780,Resident,Member
William Grayson,APS,1780,Resident,Member
Alexander Hamilton,APS,1780,Resident,Member
William C. Houston,APS,1780,Resident,Member
John Jay,APS,1780,Resident,Member
Thomas Jefferson,APS,1780,Resident,Member
J.C. Kunze,APS,1780,Resident,Member
John Laurens,APS,1780,Resident,Member
Anne C. de la Luaerne,APS,1780,International,Member
Rev. James Madison,APS,1780,Resident,Member
Timothy Matlack,APS,1780,Resident,Member
Baron Friedrich W. von Steuben,APS,1780,Resident,Member
Jean-Baptiste Ternant,APS,1780,International,Member
Charles Vallancey,APS,1780,International,Member
George Washington,APS,1780,Resident,Member
Anthony Wayne,APS,1780,Resident,Member
Thomas Bee,APS,1781,Resident,Member
Marquis de Francois J. Chastellux,APS,1781,International,Member
Isaac Gray,APS,1781,Resident,Member
Ebenezer Hazard,APS,1781,Resident,Member
Jared Ingersoll,APS,1781,Resident,Member
Marquis de Motier Theodore Lafayette,APS,1781,International,Member
Hugh Shiell,APS,1781,Resident,Member
Chevalier d' Charles F.A. Le Paulmier Annemours,APS,1783,International,Member
John Beale Bordley,APS,1783,Resident,Member
Jean F. Coste,APS,1783,International,Member
Robert Davidson,APS,1783,Resident,Member
Felice Fontana,APS,1783,International,Member
Antoine Court de Gebilin,APS,1783,International,Member
Samuel Huntingdon,APS,1783,Resident,Member
Robert M. Patterson,APS,1783,Resident,Member
Comte Charles C. Labillarderie Angivillier,APS,1784,International,Member
Jeremy Belknap,APS,1784,Resident,Member
Peter J. Van Berckel,APS,1784,International,Member
Barnabas Binney,APS,1784,Resident,Member
Robert Blackwell,APS,1784,Resident,Member
Fred F.S. de Brahm,APS,1784,International,Member
Pedro Rodriguez Campomanes,APS,1784,International,Member
John Dunlap,APS,1784,Resident,Member
John Foulke,APS,1784,Resident,Member
George Fox,APS,1784,Resident,Member
Arch Gamble,APS,1784,Resident,Member
George Gray,APS,1784,Resident,Member
J.H.C. Helmuth,APS,1784,Resident,Member
Thomas Heyward,APS,1784,Resident,Member
Rev. Samuel Magaw,APS,1784,Resident,Member
John H. de Magellan,APS,1784,International,Member
Jonathan D. Sergeant,APS,1784,Resident,Member
James Six,APS,1784,International,Member
John Vaughan,APS,1784,Resident,Member
Samuel Vaughan,APS,1784,Resident,Member
Comte de Charles G. Vergennes,APS,1784,International,Member
Frederick E.F. Bertholff,APS,1785,International,Member
Comte de Luc Urbain du Bouexic,APS,1785,International,Member
William Bradford,APS,1785,Resident,Member
Edward Burd,APS,1785,Resident,Member
John Carson,APS,1785,Resident,Member
Adair Crawford,APS,1785,International,Member
Manasseh Cutler,APS,1785,Resident,Member
Andrew Ellicott,APS,1785,Resident,Member
Samuel Powel Griffiths,APS,1785,Resident,Member
Samuel G. Hermelin,APS,1785,International,Member
Sir William Herschel,APS,1785,International,Member
Hugh James,APS,1785,International,Member
Thaddeus Kosciusko,APS,1785,International,Member
James Madison,APS,1785,Resident,Member
Joseph Mandrillion,APS,1785,International,Member
James McHenry,APS,1785,Resident,Member
Christian F. Michailis,APS,1785,International,Member
Henry E. Muhlenberg,APS,1785,Resident,Member
Mann Page,APS,1785,Resident,Member
Thomas Paine,APS,1785,Resident,Member
William Parker,APS,1785,International,Member
Robert Perceval,APS,1785,International,Member
Richard Price,APS,1785,International,Member
Joseph Priestley,APS,1785,International,Member
Samuel S. Smith,APS,1785,Resident,Member
Jean-Baptiste Sue,APS,1785,International,Member
George Wall,APS,1785,Resident,Member
Benjamin Workman,APS,1785,Resident,Member
James Beattie,APS,1786,International,Member
Pierre J.G. Cabanis,APS,1786,International,Member
Conte Luigi Castiglioni,APS,1786,International,Member
Jacques A.C. Charles,APS,1786,International,Member
George Clymer,APS,1786,International,Member
Lorenz Crell,APS,1786,International,Member
Benjamin Duffield,APS,1786,Resident,Member
Aime A.J. Feutry,APS,1786,International,Member
William Temple Franklin,APS,1786,Resident,Member
Thibert Garbier,APS,1786,International,Member
Rene G. Gastelier,APS,1786,International,Member
Granchain,APS,1786,International,Member
Guillaume Grivel,APS,1786,International,Member
Thomas Henry,APS,1786,International,Member
Jonathan Hoge,APS,1786,Resident,Member
Jan Ingenhousz,APS,1786,International,Member
John Andrews,APS,1786,Resident,Member
Richard Kirwan,APS,1786,International,Member
John Morris,APS,1786,Resident,Member
Robert Morris,APS,1786,Resident,Member
Nicolas Noel,APS,1786,International,Member
Charles Willson Peale,APS,1786,Resident,Member
Thomas Percival,APS,1786,International,Member
Robert E. Pine,APS,1786,Resident,Member
William Rawle,APS,1786,Resident,Member
Duc de Louis A. La Rochefoucauld d'Enville,APS,1786,International,Member
Julien D. Le Roy,APS,1786,International,Member
Jean L.G. Soulavie,APS,1786,International,Member
Benjamin Vaughan,APS,1786,International,Member
Samuel Vaughan,APS,1786,Resident,Member
Louis G. Le Veillard,APS,1786,International,Member
Charles H. Wharton,APS,1786,Resident,Member
John Whitehurst,APS,1786,International,Member
William Baker,APS,1787,International,Member
Sir Joseph Banks,APS,1787,International,Member
Robert Barclay,APS,1787,International,Member
Thomas Barnes,APS,1787,International,Member
William Barton,APS,1787,Resident,Member
John Bayard,APS,1787,Resident,Member
William Bingham,APS,1787,Resident,Member
James Bowdoin,APS,1787,Resident,Member
Louis C. Cadet-Gassicourt,APS,1787,International,Member
Benjamin Chew,APS,1787,Resident,Member
Isaac Craig,APS,1787,Resident,Member
Enoch Edwards,APS,1787,Resident,Member
John Hunter,APS,1787,International,Member
Joseph James,APS,1787,Resident,Member
Francis Johnston,APS,1787,Resident,Member
John Johnston,APS,1787,Resident,Member
Charles Lennox,APS,1787,International,Member
John Coakley Lettsom,APS,1787,International,Member
Hon. John Lowell,APS,1787,Resident,Member
Robert Milligan,APS,1787,Resident,Member
Sir Edward Newenham,APS,1787,International,Member
Comte Louis G. Otto,APS,1787,International,Member
John R.B. Rodgers,APS,1787,Resident,Member
Thomas Ruston,APS,1787,Resident,Member
William W. Smith,APS,1787,Resident,Member
George Spence,APS,1787,International,Member
William Thornton,APS,1787,International,Member
George Vaux,APS,1787,International,Member
Antoine A.F. Cadet de Vaux,APS,1787,International,Member
Thomas White,APS,1787,International,Member
Jonathan Williams,APS,1787,Resident,Member
Caspar Wistar,APS,1787,Resident,Member
Simeon De Witt,APS,1787,Resident,Member
Burgiss Allison,APS,1789,Resident,Member
Charles Arthaud,APS,1789,International,Member
Benjamin Smith Barton,APS,1789,Resident,Member
Samuel Beach,APS,1789,International,Member
Sir Charles Blagden,APS,1789,International,Member
John Bleakley,APS,1789,Resident,Member
David Brearly,APS,1789,Resident,Member
Jean P. Brissot,APS,1789,International,Member
George Buchanan,APS,1789,Resident,Member
Pieter Camper,APS,1789,International,Member
Nicholas Collin,APS,1789,Resident,Member
John Cox,APS,1789,Resident,Member
Michel G. St. J. de Crevecoeur,APS,1789,International,Member
Princess Catherine Ekaterina Dashkova,APS,1789,International,Member
William Findley,APS,1789,Resident,Member
Jos. M. de Flores,APS,1789,International,Member
Diego de Gardoqui,APS,1789,International,Member
Francis de Gardoqui,APS,1789,International,Member
Peter Le Gaux,APS,1789,Resident,Member
Ashbel Green,APS,1789,Resident,Member
Friedrich A. von Heintz,APS,1789,International,Member
Joshua Humphreys,APS,1789,Resident,Member
Walter Minto,APS,1789,Resident,Member
George Monroe,APS,1789,Resident,Member
Mekeric L.E. Moreau,APS,1789,International,Member
William Paterson,APS,1789,Resident,Member
C.C. Pinckney,APS,1789,Resident,Member
Thomas Pole,APS,1789,International,Member
David Redick,APS,1789,Resident,Member
Benjamin Rittenhouse,APS,1789,Resident,Member
James Rumsey,APS,1789,Resident,Member
Winthrop Sargent,APS,1789,Resident,Member
Franz A. Steinsky,APS,1789,International,Member
John Stevens,APS,1789,Resident,Member
Charles Stuart,APS,1789,International,Member
James Wilkinson,APS,1789,Resident,Member
John Witherspoon,APS,1789,Resident,Member
Baron J.W.K.A. Hupsch von Lontxen,APS,1790,International,Member
Anders Sparman,APS,1790,International,Member
George Turner,APS,1790,Resident,Member
John Walker,APS,1790,International,Member
Caleb Whitefoord,APS,1790,International,Member
Alexander Addison,APS,1791,Resident,Member
Alexander Anderson,APS,1791,Resident,Member
Absalom Baird,APS,1791,Resident,Member
John Beckley,APS,1791,Resident,Member
Nicholas L. Burmann,APS,1791,International,Member
Alexander J. Dallas,APS,1791,Resident,Member
William Ferguson,APS,1791,Resident,Member
Albert Gallatin,APS,1791,Resident,Member
Benjamin Gloxin,APS,1791,International,Member
Robert Goldsbourough,APS,1791,Resident,Member
John G. Grosche,APS,1791,International,Member
John Hoge,APS,1791,Resident,Member
James Anderson,APS,1791,International,Member
Henry Knox,APS,1791,Resident,Member
John Luzac,APS,1791,International,Member
S.L. Mitchell,APS,1791,Resident,Member
Johann A. Murray,APS,1791,Resident,Member
John Nicholson,APS,1791,Resident,Member
Peter S. Pallas,APS,1791,International,Member
John Penington,APS,1791,Resident,Member
Thomas Pennant,APS,1791,International,Member
Peter S. Du Ponceau,APS,1791,Resident,Member
Edmund Randolph,APS,1791,Resident,Member
Andrew Ross,APS,1791,Resident,Member
