Name,Organization,Status
John Adams,AAAS,Member
Samuel Adams,AAAS,Member
John Bacon,AAAS,Member
James Bowdoin,AAAS,Member
Charles Chauncy,AAAS,Member
John Clarke,AAAS,Member
David Cobb,AAAS,Member
Samuel Cooper,AAAS,Member
Nathan Cushing,AAAS,Member
Thomas Cushing,AAAS,Member
William Cushing,AAAS,Member
Tristram Dalton,AAAS,Member
Francis Dalton,AAAS,Member
Samuel Deane,AAAS,Member
Perez Fobes,AAAS,Member
Caleb Gannett,AAAS,Member
Henry Gardner,AAAS,Member
Benjamin Guild,AAAS,Member
John Hancock,AAAS,Member
Joseph Hawley,AAAS,Member
Edward Augustus Holyoke,AAAS,Member
Ebenezer Hunt,AAAS,Member
Jonathan Jackson,AAAS,Member
Charles Jarvis,AAAS,Member
Samuel Langdon,AAAS,Member
Levi Lincoln,AAAS,Member
Daniel Little,AAAS,Member
Elijah Lothrop,AAAS,Member
John Lowell,AAAS,Member
Samuel Mather,AAAS,Member
Samuel Moody,AAAS,Member
Andrew Oliver,AAAS,Member
Joseph Orne,AAAS,Member
Robert Treat Paine,AAAS,Member
Theodore Parsons,AAAS,Member
George Partridge,AAAS,Member
Phillips Payson,AAAS,Member
Samuel Phillips,AAAS,Member
John Pickering,AAAS,Member
Oliver Prescott,AAAS,Member
Zedekiah Sanger,AAAS,Member
Nathaniel Peaslee Sargeant,AAAS,Member
Micajah Sawyer,AAAS,Member
Theodore Sedgwick,AAAS,Member
William Sever,AAAS,Member
David Sewall,AAAS,Member
Stephen Sewall,AAAS,Member
John Sprague,AAAS,Member
Ebenezer Storer,AAAS,Member
Caleb Strong,AAAS,Member
James Sulliivan,AAAS,Member
John Barnard Swett,AAAS,Member
Nathaniel Tracy,AAAS,Member
Cotton Tufts,AAAS,Member
James Warren,AAAS,Member
Samuel West,AAAS,Member
Edward Wigglesworth,AAAS,Member
Joseph Willard,AAAS,Member
Abraham Williams,AAAS,Member
Nehemiah Williams,AAAS,Member
Samuel Williams,AAAS,Member
James Winthrop,AAAS,Member
Francois Barbe Marbois,AAAS,Member
Joseph Brown,AAAS,Member
Francois Jean Chastellux,AAAS,Member
Antoine Court de Geblin,AAAS,Member
Richard Cranch,AAAS,Member
Manasseh Cutler,AAAS,Member
Jean le Rond d Alembert,AAAS,Member
Timothy Danielson,AAAS,Member
Anne Cesar de la Luzerne,AAAS,Member
Timothy Edwards,AAAS,Member
Benjamin Franklin,AAAS,Member
Benjamin Gale,AAAS,Member
Elbridge Gerry,AAAS,Member
Ebenezer Hazard,AAAS,Member
Simeon Howard,AAAS,Member
Joseph Jerome le Francais Lalande,AAAS,Member
Benjamin Lincoln,AAAS,Member
Samuel Osgood,AAAS,Member
Theophilus Parson,AAAS,Member
Eliphat Pearson,AAAS,Member
Ezra Stiles,AAAS,Member
Pehr Wilhelm Wargentin,AAAS,Member
John Warren,AAAS,Member
George Washington,AAAS,Member
Benjamin West,AAAS,Member
Loammi Baldwin,AAAS,Member
Owen Biddle,AAAS,Member
Georges Georges Louis Buffon,AAAS,Member
Comte de Leclerc,AAAS,Member
Leonhard Euler,AAAS,Member
Jacques Constant de Guillaume Liberge de Granchain,AAAS,Member
Jacques Constant de Guillaume,AAAS,Member
Comte de Liberge,AAAS,Member
Thomas Brand Hollis,AAAS,Member
Arthur Lee,AAAS,Member
William Livingston,AAAS,Member
Richard Price,AAAS,Member
Joseph Priestley,AAAS,Member
David Rittenhouse,AAAS,Member
Jonathan Trumbull,AAAS,Member
Meshech Weare,AAAS,Member
Edme Sebastien Jeaurat,AAAS,Member
Thomas Dawes,AAAS,Member
Aaron Dexter,AAAS,Member
William Erving,AAAS,Member
Joshua Fisher,AAAS,Member
Samuel Hale,AAAS,Member
Samuel Gustaf Hermelin,AAAS,Member
John Sparhawk,AAAS,Member
Jeremy Belknap,AAAS,Member
Petter Jonas Bergius,AAAS,Member
Marie Joseph Paul Yves Roch Gilbert du Motier de Lafayette Marquis de Lafayette ,AAAS,Member
Henry Moyes,AAAS,Member
John Prince,AAAS,Member
James Bowdoin,AAAS,Member
Luigi Castiglioni,AAAS,Member
Jean Feron,AAAS,Member
John Jones Spooner,AAAS,Member
Samuel Vaughan Sr,AAAS,Member
Nathaniel Wells,AAAS,Member
Thomas Jefferson,AAAS,Member
Noah Atwater,AAAS,Member
Joseph Banks,AAAS,Member
George Cabot,AAAS,Member
Jean Dominque Cassini,AAAS,Member
Johann Jacob Hemmer,AAAS,Member
William Herschel,AAAS,Member
Thomas Hornsby,AAAS,Member
Charles Hutton,AAAS,Member
John Coakley Lettsom,AAAS,Member
Nevil Maskelyne,AAAS,Member
Nicholas Pike,AAAS,Member
Joseph Pope,AAAS,Member
Benjamin Rush,AAAS,Member
Thomas Russell,AAAS,Member
Winthrop Sargent,AAAS,Member
Jonathan Stokes,AAAS,Member
Richard Watson,AAAS,Member
Pedro Francisco Jimenez de Gongora y Lujan Duque deAlmodovar del Rio,AAAS,Member
Nathaniel Walker Appleton,AAAS,Member
William Baylies,AAAS,Member
Charles Blagden,AAAS,Member
Jacques Pierre Brissot de Warville,AAAS,Member
Antoine Marie Cerisier,AAAS,Member
Samuel Danforth,AAAS,Member
Charles William Frederick Dumas,AAAS,Member
John Haygarth,AAAS,Member
Edmund Jennings,AAAS,Member
Richard Kirwan,AAAS,Member
Jean Luzac,AAAS,Member
Archibald Maclaine,AAAS,Member
George Richards Minot,AAAS,Member
Thomas Percival,AAAS,Member
Frederik Willem Pestel,AAAS,Member
Samuel Webber,AAAS,Member
Joseph Philippe de   Etombe,AAAS,Member
Solomon Drown,AAAS,Member
George Erving,AAAS,Member
John Howard,AAAS,Member
Johann Wilhelm Karl Adolph Freiherr Hupsch,AAAS,Member
John Jay,AAAS,Member
Samuel Kirkland,AAAS,Member
John Lathrop,AAAS,Member
Samuel Shaw,AAAS,Member
Grimur Jonsson Thorkelin,AAAS,Member
Robert Young,AAAS,Member
Charles Bulfinch,AAAS,Member
John Singleton Copley,AAAS,Member
John Cranch,AAAS,Member
Samuel Dexter,AAAS,Member
Alexander Hamilton,AAAS,Member
William Paine,AAAS,Member
John Pickering,AAAS,Member
Nathan Read,AAAS,Member
Increase Sumner,AAAS,Member
Samuel Tenney,AAAS,Member
John Trumbull,AAAS,Member
John Trumbull,AAAS,Member
Benjamin West,AAAS,Member
John Davis,AAAS,Member
Marie Jean Antoine Nicolas Cariat Condorcet,AAAS,Member
William Hamilton,AAAS,Member
Joseph Lathrop,AAAS,Member
John Mellen Jr,AAAS,Member
Fisher Ames,AAAS,Member
Benjamin Smith Barton,AAAS,Member
Oliver Everett,AAAS,Member
James Freeman,AAAS,Member
William Dandridge Peck,AAAS,Member
Nathaniel Appleton,AAAS,Member
Johann Friedrich Blumenbach,AAAS,Member
Benjamin Dearborn,AAAS,Member
James Madison,AAAS,Member
Louis Valentin,AAAS,Member
Charles Vaughan,AAAS,Member
Benjamin Waterhouse,AAAS,Member
Thomas Dawes,AAAS,Member
Thomas Welsh,AAAS,Member
Thomas Brattle,AAAS,Member
Christopher Gore,AAAS,Member
Joseph McKeen,AAAS,Member
Jedidiah Morse,AAAS,Member
Isaac Rand,AAAS,Member
William Spooner,AAAS,Member
David Tappan,AAAS,Member
Peter Thacher,AAAS,Member
John Quincy Adams,AAAS,Member
Edward Bancroft,AAAS,Member
Timothy Dwight,AAAS,Member
John Haliburton,AAAS,Member
Samuel Latham Mitchill,AAAS,Member
John Sinclair,AAAS,Member
Thomas Barnard,AAAS,Member
Theophilus Bradbury,AAAS,Member
Mather Brown,AAAS,Member
Franz Xaver von Zach,AAAS,Member
Nathaniel Bowditch,AAAS,Member
John Thornton Kirkland,AAAS,Member
Edward Hutchinson Robbins,AAAS,Member
Noah Webster,AAAS,Member
Benjamin DeWitt,AAAS,Member
Samuel Dexter,AAAS,Member
William Falconer,AAAS,Member
William Paterson,AAAS,Member
Samuel Sewall,AAAS,Member
Edward Jenner,AAAS,Member
Timothy Bigelow,AAAS,Member
Oliver Ellsworth,AAAS,Member
William Emerson,AAAS,Member
Abiel Holmes,AAAS,Member
Benard Edward Howard,AAAS,Member
William Petty Fitzmaurice Lansdowne,AAAS,Member
Allan Pollock,AAAS,Member
Josiah Quincy,AAAS,Member
James Thacher,AAAS,Member
Caspar Wistar,AAAS,Member
David Humphreys,AAAS,Member
John Lowell,AAAS,Member
Joseph Lyman,AAAS,Member
John Marshall,AAAS,Member
Harrison Gray Otis,AAAS,Member
Joshua Thomas,AAAS,Member
Jonathan Trumbull,AAAS,Member
Gustav von Paykull,AAAS,Member
Henry Ware,AAAS,Member
Samuel Williams,AAAS,Member
Aaron Bancroft,AAAS,Member
John Eliot,AAAS,Member
Levi Hedge,AAAS,Member
Rufus King,AAAS,Member
Henry Knox,AAAS,Member
Olof Peter Swartz,AAAS,Member
John Treadwell,AAAS,Member
Benjamin Vaughan,AAAS,Member
Samuel Eliot,AAAS,Member
Thaddeus Mason Harris,AAAS,Member
Daniel Kilham,AAAS,Member
Dudley Atkins Tyng,AAAS,Member
Thomas Thacher,AAAS,Member
Francis Adrian Van der Kemp,AAAS,Member
John Allyn,AAAS,Member
