Name,Date Established,State,City,Type of Society,Society,Publication,First Publication Year,,url,Cesation of Society
American Philosophical Society,1743,PA,Philadelphia,Universal Science,Universal,Transactions of the American Philosophical Society ,1769/1771,,,
Virginia Society for the Promotion of Useful Knowledge. ,1772,VA,Williamsburg,Universal Science,Universal,,,"OCLC: 11758181 ; Notes on the founding of the Virginia Society for the Promotion of Useful Knowledge. In emulation of English and Continental philosophical societies, the Virginia organization hoped to spur scientific inquiry and advances, especially in those branches of science which promoted industry, commerce, and the arts.",,
American Academy of Arts and Sciences,1780,MA,Cambridge,Universal Science,Universal,Memoirs of the American Academy of Arts and Sciences ,1780/1783,,,
Massachusetts Medical Society,1781,MA,,Medical,Medical,"Medical papers, communicated to the Massachusetts Medical Society. : To which are subjoined, extracts from various authors, containing some of the improvements, which have lately been made in physic and surgery",1790,oldest continuously operating medical society in the United States. ,,
Philadelphia Society for Promoting Agriculture ,1785,PA,Philadelphia,Agriculture,Agricultural and Mechanical,"Minutes of the Philadelphia Society for the Promotion of Agriculture, from its institution in February, 1785, to March, 1810",,Memoirs of the Philadelphia Society for Promoting Agriculture: containing communications on various subjects in husbandry & rural affairs. 1808,,
Vermont Medical Society (VMS),1813,VT,,Medical,Medical,,,,,
College of Physicians of Philadelphia,1787,PA,Philadelphia,Medical,Medical,Transactions of the College of Physicians of Philadelphia ,1793,,,
"Acadamie des sciences et beaux arts des etats-Unis de l'Amerique (Richmond, Va.) ",,VA,Richmond,Universal Science,Universal,,1788,"Quesnay de Beaurepaire succeeded in building a structure for the Acad_mie in Richmond, but the Acad_mie itself failed. Cf. D.I. Duveen and H.S. Klickstein. ""Alexandre-Marie Quesnay De Beaurepaire's: M_moire et prospectus, concernant l'Acad_mie des Sciences et Beaux Arts des Etats-Unis de l'Am_rique ..."" In Virginia magazine of history and biography, v. 63, no. 3, July 1955, p. [280]-285.",,
Massachusetts Historical Society,1791,MA,Boston,Historical,Letters,Proceedings of the Massachusetts Historical Society ,1791,,http://www.scholarly-societies.org/history/1791mhs.html,
New Hampshire Medical Society,1791,NH,Concord,Medical,Medical,Records of the New Hampshire Medical Society ,1791,,http://www.scholarly-societies.org/history/1791nhms.html,
"Society for the Promotion of Agriculture, Arts and Manufactures",1791,NY,New York,"Mechanical, Agriculture",Agricultural and Mechanical,"Transactions of the Society, instituted in the State of New-York, for the promotion of agriculture, arts, and manufactures ",1792,"The Society for the Promotion of Agriculture, Arts and Manufactures was founded in New York City in 1791 as a learned society; in 1797 the Society moved to Albany. In 1804, it changed its name to the Society for the Promotion of Useful Arts (SPUA). In 1824, the SPUA ceased its activities as a learned society when it merged with the Albany Lyceum of Natural History (a museum founded in 1823) to become the Albany Institute, a museum that exists to the present day.",http://www.scholarly-societies.org/history/1791spaam.html,
Chemical Society of Philadelphia,1792,PA,Philadelphia,Specialized Science,Specialized,,,,http://www.scholarly-societies.org/history/1792csp.html,1803
